Squirrel Metal II/A Dark Omen/,A Dark Omen,dance-single,Challenge,15
Squirrel Metal II/A Dark Omen/,A Dark Omen,dance-single,Easy,16
Squirrel Metal II/A Dark Omen/,A Dark Omen,dance-single,Hard,14
Squirrel Metal II/A Dark Omen/,A Dark Omen,dance-single,Medium,13
Squirrel Metal II/A Dark Omen/,A Dark Omen,dance-double,Challenge,15
Squirrel Metal II/Akatsuki/,Akatsuki,dance-single,Challenge,14
Squirrel Metal II/Akatsuki/,Akatsuki,dance-single,Hard,13
Squirrel Metal II/Akatsuki/,Akatsuki,dance-single,Medium,12
Squirrel Metal II/Akatsuki/,Akatsuki,dance-single,Easy,15
Squirrel Metal II/Akatsuki/,Akatsuki,dance-double,Challenge,14
Squirrel Metal II/Arctica/,Arctica,dance-single,Challenge,16
Squirrel Metal II/Arctica/,Arctica,dance-single,Hard,15
Squirrel Metal II/Arctica/,Arctica,dance-single,Medium,14
Squirrel Metal II/Arctica/,Arctica,dance-single,Easy,13
Squirrel Metal II/Arctica/,Arctica,dance-double,Challenge,17
Squirrel Metal II/Awakening/,Awakening,dance-single,Challenge,15
Squirrel Metal II/Awakening/,Awakening,dance-single,Hard,14
Squirrel Metal II/Awakening/,Awakening,dance-single,Medium,13
Squirrel Metal II/Awakening/,Awakening,dance-single,Easy,12
Squirrel Metal II/Awakening/,Awakening,dance-double,Challenge,15
Squirrel Metal II/Be Dead Or Die/,Be Dead Or Die,dance-single,Challenge,18
Squirrel Metal II/Be Dead Or Die/,Be Dead Or Die,dance-single,Hard,17
Squirrel Metal II/Be Dead Or Die/,Be Dead Or Die,dance-single,Medium,16
Squirrel Metal II/Be Dead Or Die/,Be Dead Or Die,dance-single,Easy,15
Squirrel Metal II/Be Dead Or Die/,Be Dead Or Die,dance-double,Challenge,19
Squirrel Metal II/Burn It Down/,Burn It Down,dance-single,Challenge,15
Squirrel Metal II/Burn It Down/,Burn It Down,dance-single,Hard,14
Squirrel Metal II/Burn It Down/,Burn It Down,dance-single,Medium,13
Squirrel Metal II/Burn It Down/,Burn It Down,dance-single,Easy,12
Squirrel Metal II/Burn It Down/,Burn It Down,dance-double,Challenge,16
Squirrel Metal II/Cadaver/,Cadaver,dance-single,Challenge,15
Squirrel Metal II/Cadaver/,Cadaver,dance-single,Hard,14
Squirrel Metal II/Cadaver/,Cadaver,dance-single,Medium,13
Squirrel Metal II/Cadaver/,Cadaver,dance-single,Easy,12
Squirrel Metal II/Cadaver/,Cadaver,dance-double,Challenge,15
Squirrel Metal II/Dies Irae (Amadeus)/,Dies Irae,dance-single,Challenge,16
Squirrel Metal II/Dies Irae (Amadeus)/,Dies Irae,dance-single,Hard,15
Squirrel Metal II/Dies Irae (Amadeus)/,Dies Irae,dance-single,Medium,14
Squirrel Metal II/Dies Irae (Amadeus)/,Dies Irae,dance-single,Easy,14
Squirrel Metal II/Dies Irae (Amadeus)/,Dies Irae,dance-double,Challenge,17
Squirrel Metal II/Drink/,Drink,dance-single,Challenge,13
Squirrel Metal II/Drink/,Drink,dance-double,Challenge,13
Squirrel Metal II/Drink/,Drink,dance-single,Hard,12
Squirrel Metal II/Drink/,Drink,dance-single,Medium,11
Squirrel Metal II/Drink/,Drink,dance-single,Easy,9
Squirrel Metal II/Embrace the Endless Ocean/,Embrace the Endless Ocean,dance-single,Challenge,18
Squirrel Metal II/Embrace the Endless Ocean/,Embrace the Endless Ocean,dance-single,Hard,17
Squirrel Metal II/Embrace the Endless Ocean/,Embrace the Endless Ocean,dance-single,Medium,16
Squirrel Metal II/Embrace the Endless Ocean/,Embrace the Endless Ocean,dance-single,Easy,15
Squirrel Metal II/Embrace the Endless Ocean/,Embrace the Endless Ocean,dance-double,Challenge,19
"Squirrel Metal II/Flying Clouds, Drifting Haze/","Flying Clouds, Drifting Haze",dance-single,Challenge,17
"Squirrel Metal II/Flying Clouds, Drifting Haze/","Flying Clouds, Drifting Haze",dance-single,Hard,16
"Squirrel Metal II/Flying Clouds, Drifting Haze/","Flying Clouds, Drifting Haze",dance-single,Medium,15
"Squirrel Metal II/Flying Clouds, Drifting Haze/","Flying Clouds, Drifting Haze",dance-single,Easy,11
"Squirrel Metal II/Flying Clouds, Drifting Haze/","Flying Clouds, Drifting Haze",dance-double,Challenge,18
Squirrel Metal II/Forever Unbound/,Forever Unbound,dance-single,Challenge,17
Squirrel Metal II/Forever Unbound/,Forever Unbound,dance-single,Hard,16
Squirrel Metal II/Forever Unbound/,Forever Unbound,dance-single,Medium,15
Squirrel Metal II/Forever Unbound/,Forever Unbound,dance-single,Easy,14
Squirrel Metal II/Forever Unbound/,Forever Unbound,dance-double,Challenge,17
Squirrel Metal II/Fullmoon (Revisited)/,Fullmoon,dance-single,Challenge,14
Squirrel Metal II/Fullmoon (Revisited)/,Fullmoon,dance-single,Hard,13
Squirrel Metal II/Fullmoon (Revisited)/,Fullmoon,dance-single,Medium,12
Squirrel Metal II/Fullmoon (Revisited)/,Fullmoon,dance-single,Easy,11
Squirrel Metal II/Fullmoon (Revisited)/,Fullmoon,dance-double,Challenge,14
Squirrel Metal II/Good Night/,Good Night,dance-single,Challenge,15
Squirrel Metal II/Good Night/,Good Night,dance-single,Hard,14
Squirrel Metal II/Good Night/,Good Night,dance-single,Medium,13
Squirrel Metal II/Good Night/,Good Night,dance-single,Easy,10
Squirrel Metal II/Good Night/,Good Night,dance-double,Challenge,15
Squirrel Metal II/Hector's Hymn/,Hector's Hymn,dance-single,Challenge,13
Squirrel Metal II/Hector's Hymn/,Hector's Hymn,dance-single,Hard,12
Squirrel Metal II/Hector's Hymn/,Hector's Hymn,dance-single,Medium,11
Squirrel Metal II/Hector's Hymn/,Hector's Hymn,dance-single,Easy,10
Squirrel Metal II/Hector's Hymn/,Hector's Hymn,dance-double,Challenge,14
Squirrel Metal II/Impious Dystopia/,Impious Dystopia,dance-single,Challenge,15
Squirrel Metal II/Impious Dystopia/,Impious Dystopia,dance-single,Hard,14
Squirrel Metal II/Impious Dystopia/,Impious Dystopia,dance-single,Medium,13
Squirrel Metal II/Impious Dystopia/,Impious Dystopia,dance-single,Easy,12
Squirrel Metal II/Impious Dystopia/,Impious Dystopia,dance-double,Challenge,16
Squirrel Metal II/Liar Liar (Wasteland Monarchy)/,Liar Liar,dance-single,Challenge,14
Squirrel Metal II/Liar Liar (Wasteland Monarchy)/,Liar Liar,dance-single,Hard,13
Squirrel Metal II/Liar Liar (Wasteland Monarchy)/,Liar Liar,dance-single,Medium,12
Squirrel Metal II/Liar Liar (Wasteland Monarchy)/,Liar Liar,dance-single,Easy,11
Squirrel Metal II/Liar Liar (Wasteland Monarchy)/,Liar Liar,dance-double,Challenge,14
Squirrel Metal II/Liberty/,Liberty,dance-single,Challenge,15
Squirrel Metal II/Liberty/,Liberty,dance-single,Hard,14
Squirrel Metal II/Liberty/,Liberty,dance-single,Medium,13
Squirrel Metal II/Liberty/,Liberty,dance-single,Easy,12
Squirrel Metal II/Liberty/,Liberty,dance-double,Challenge,16
Squirrel Metal II/Mirror Mirror/,Mirror Mirror,dance-single,Challenge,15
Squirrel Metal II/Mirror Mirror/,Mirror Mirror,dance-single,Hard,14
Squirrel Metal II/Mirror Mirror/,Mirror Mirror,dance-single,Medium,13
Squirrel Metal II/Mirror Mirror/,Mirror Mirror,dance-single,Easy,12
Squirrel Metal II/Mirror Mirror/,Mirror Mirror,dance-double,Challenge,16
Squirrel Metal II/Nevermore/,Nevermore,dance-single,Challenge,14
Squirrel Metal II/Nevermore/,Nevermore,dance-single,Hard,13
Squirrel Metal II/Nevermore/,Nevermore,dance-single,Medium,12
Squirrel Metal II/Nevermore/,Nevermore,dance-single,Easy,11
Squirrel Metal II/Nevermore/,Nevermore,dance-double,Challenge,14
Squirrel Metal II/Paper Tiger/,Paper Tiger,dance-single,Challenge,12
Squirrel Metal II/Paper Tiger/,Paper Tiger,dance-single,Hard,12
Squirrel Metal II/Paper Tiger/,Paper Tiger,dance-single,Medium,11
Squirrel Metal II/Paper Tiger/,Paper Tiger,dance-single,Easy,10
Squirrel Metal II/Paper Tiger/,Paper Tiger,dance-double,Challenge,13
Squirrel Metal II/Power of the Mind/,Power of the Mind,dance-single,Challenge,14
Squirrel Metal II/Power of the Mind/,Power of the Mind,dance-double,Challenge,15
Squirrel Metal II/Power of the Mind/,Power of the Mind,dance-single,Hard,13
Squirrel Metal II/Power of the Mind/,Power of the Mind,dance-single,Medium,11
Squirrel Metal II/Power of the Mind/,Power of the Mind,dance-single,Easy,10
Squirrel Metal II/REVOLUTION/,REVOLUTION,dance-single,Challenge,17
Squirrel Metal II/REVOLUTION/,REVOLUTION,dance-single,Hard,16
Squirrel Metal II/REVOLUTION/,REVOLUTION,dance-single,Medium,15
Squirrel Metal II/REVOLUTION/,REVOLUTION,dance-single,Easy,13
Squirrel Metal II/REVOLUTION/,REVOLUTION,dance-double,Challenge,17
Squirrel Metal II/REVOLUTION/,REVOLUTION,dance-double,Easy,13
Squirrel Metal II/Rise of the Chaos Wizards/,Rise of the Chaos Wizards,dance-single,Challenge,16
Squirrel Metal II/Rise of the Chaos Wizards/,Rise of the Chaos Wizards,dance-single,Hard,15
Squirrel Metal II/Rise of the Chaos Wizards/,Rise of the Chaos Wizards,dance-single,Medium,14
Squirrel Metal II/Rise of the Chaos Wizards/,Rise of the Chaos Wizards,dance-single,Easy,13
Squirrel Metal II/Rise of the Chaos Wizards/,Rise of the Chaos Wizards,dance-double,Challenge,17
Squirrel Metal II/Rise of the Chaos Wizards/,Rise of the Chaos Wizards,dance-single,Beginner,17
Squirrel Metal II/Shadows of Death/,Shadows of Death,dance-single,Challenge,14
Squirrel Metal II/Shadows of Death/,Shadows of Death,dance-single,Hard,13
Squirrel Metal II/Shadows of Death/,Shadows of Death,dance-single,Medium,12
Squirrel Metal II/Shadows of Death/,Shadows of Death,dance-single,Easy,11
Squirrel Metal II/Shadows of Death/,Shadows of Death,dance-double,Challenge,15
Squirrel Metal II/Somewhere Back In Time/,Somewhere Back In Time,dance-single,Challenge,18
Squirrel Metal II/Somewhere Back In Time/,Somewhere Back In Time,dance-single,Hard,18
Squirrel Metal II/Somewhere Back In Time/,Somewhere Back In Time,dance-single,Medium,17
Squirrel Metal II/Somewhere Back In Time/,Somewhere Back In Time,dance-single,Easy,16
Squirrel Metal II/Somewhere Back In Time/,Somewhere Back In Time,dance-double,Challenge,20
Squirrel Metal II/Spartakus and the Sun Beneath the See/,Spartakus and the Sun Beneath the See,dance-single,Challenge,16
Squirrel Metal II/Spartakus and the Sun Beneath the See/,Spartakus and the Sun Beneath the See,dance-single,Hard,15
Squirrel Metal II/Spartakus and the Sun Beneath the See/,Spartakus and the Sun Beneath the See,dance-single,Medium,14
Squirrel Metal II/Spartakus and the Sun Beneath the See/,Spartakus and the Sun Beneath the See,dance-single,Easy,12
Squirrel Metal II/Spartakus and the Sun Beneath the See/,Spartakus and the Sun Beneath the See,dance-double,Challenge,16
Squirrel Metal II/The Edge of the World/,The Edge of the World,dance-single,Challenge,17
Squirrel Metal II/The Edge of the World/,The Edge of the World,dance-single,Hard,16
Squirrel Metal II/The Edge of the World/,The Edge of the World,dance-single,Medium,15
Squirrel Metal II/The Edge of the World/,The Edge of the World,dance-single,Easy,14
Squirrel Metal II/The Edge of the World/,The Edge of the World,dance-double,Challenge,18
Squirrel Metal II/To the Stars/,To the Stars,dance-single,Challenge,16
Squirrel Metal II/To the Stars/,To the Stars,dance-single,Hard,14
Squirrel Metal II/To the Stars/,To the Stars,dance-single,Medium,13
Squirrel Metal II/To the Stars/,To the Stars,dance-single,Easy,12
Squirrel Metal II/To the Stars/,To the Stars,dance-double,Challenge,16
Squirrel Metal II/War Eternal/,War Eternal,dance-single,Challenge,13
Squirrel Metal II/War Eternal/,War Eternal,dance-single,Hard,13
